Page ID,Title,URL,Provincie,ADRESSE,API_STATUS,QUERY_USED,ERROR_MESSAGE,LAT,LNG,GEO_STATUS,GEO_ERROR
320,Kasteel van Tavigny,https://kastelenbelgie.be/nl/kasteel-van-tavigny-tavigny-houffalize/,West-Vlaanderen,"West-Vlaanderen, België",OK,"Kasteel van Tavigny, West-Vlaanderen, België",,51.0536024,3.1457942,OK,
319,Kasteel de faille,https://kastelenbelgie.be/nl/kasteel-de-faille-brugge/,Limburg,"Limburg, België",OK,"Kasteel de faille, Limburg, België",,50.9738973,5.3419677,OK,
318,Kasteel ingelmunster,https://kastelenbelgie.be/nl/kasteel-ingelmunster-ingelmunster/,Limburg,"8770 Ingelmunster, België",OK,"Kasteel ingelmunster, Limburg, België",,50.91464329999999,3.2650296,OK,
317,Kasteel oude kluis,https://kastelenbelgie.be/nl/kasteel-oude-kluis-gent/,Namen,"Namen, België",OK,"Kasteel oude kluis, Namen, België",,50.46493340000001,4.864973099999999,OK,
316,Kasteel van bokrijk,https://kastelenbelgie.be/nl/kasteel-van-bokrijk-genk/,Namen,"Bokrijklaan 1, 3600 Genk, België",OK,"Kasteel van bokrijk, Namen, België",,50.9601727,5.4046115,OK,
315,Kasteel van roborst,https://kastelenbelgie.be/nl/kasteel-van-roborst-roborst/,Henegouwen,"Château Seneffe, Rue Lucien Plasman 7, 7180 Seneffe, België",OK,"Kasteel van roborst, Henegouwen, België",,50.5253519,4.2702104,OK,
314,Kasteel van montjardin,https://kastelenbelgie.be/nl/kasteel-van-montjardin-sougne-remouchamps/,Oost-Vlaanderen,"Oost-Vlaanderen, België",OK,"Kasteel van montjardin, Oost-Vlaanderen, België",,51.0362101,3.7373124,OK,
313,Kasteel van montaigle,https://kastelenbelgie.be/nl/kasteel-van-montaigle-falaen/,Luxemburg,"Rue du Marteau 10, 5522 Onhaye, België",OK,"Kasteel van montaigle, Luxemburg, België",,50.2924613,4.816523,OK,
312,Kasteel ten bieze,https://kastelenbelgie.be/nl/kasteel-ten-bieze-beerlegem/,Namen,"Namen, België",OK,"Kasteel ten bieze, Namen, België",,50.46493340000001,4.864973099999999,OK,
311,Kasteel van kruishoutem,https://kastelenbelgie.be/nl/kasteel-van-kruishoutem-kruishoutem/,Namen,"9770 Kruisem, België",OK,"Kasteel van kruishoutem, Namen, België",,50.9275809,3.5373587,OK,
310,Kasteel vieux chateau,https://kastelenbelgie.be/nl/kasteel-vieux-chateau-saive-blegny/,Luxemburg,"Vieux Chateau, België",OK,"Kasteel vieux chateau, Luxemburg, België",,50.659784,5.6839098,OK,
309,Kasteel van haltinne,https://kastelenbelgie.be/nl/kasteel-van-haltinne-haltinne/,Waals-Brabant,"Haltinne, 5340 Gesves, België",OK,"Kasteel van haltinne, Waals-Brabant, België",,50.4511,5.07501,OK,
308,Kasteel van julius caesar,https://kastelenbelgie.be/nl/kasteel-van-julius-caesar-doornik/,Brussel,"Brussel, België",OK,"Kasteel van julius caesar, Brussel, België",,50.84770289999999,4.357200100000001,OK,
307,Kasteel Petite-Somme,https://kastelenbelgie.be/nl/kasteel-petite-somme-petite-somme/,Vlaams-Brabant,"Kasteel, 1880 Kapelle-op-den-Bos, België",OK,"Kasteel Petite-Somme, Vlaams-Brabant, België",,51.0148726,4.3315549,OK,
306,Kasteel van vorst,https://kastelenbelgie.be/nl/kasteel-van-vorst-meerlaer-laakdal/,Luik,"Luik, België",OK,"Kasteel van vorst, Luik, België",,50.6402286,5.5689372,OK,
305,Kasteel van veerle,https://kastelenbelgie.be/nl/kasteel-van-veerle-laakdal/,Antwerpen,"Diestse Baan 62, 2431 Laakdal, België",OK,"Kasteel van veerle, Antwerpen, België",,51.0628945,4.9908467,OK,
304,Kasteel eyneburg,https://kastelenbelgie.be/nl/kasteel-eyneburg-hergenrath/,Luik,"Chem. d'Emmaburg, 4728 La Calamine, België",OK,"Kasteel eyneburg, Luik, België",,50.7072235,6.018103,OK,
303,Kasteel leva,https://kastelenbelgie.be/nl/kasteel-leva-alken/,Luik,"Onze-Lieve-Vrouwstraat 40, 3570 Alken, België",OK,"Kasteel leva, Luik, België",,50.8929915,5.285036,OK,
302,Kasteel maxburg,https://kastelenbelgie.be/nl/kasteel-maxburg-meer/,Luik,"Luik, België",OK,"Kasteel maxburg, Luik, België",,50.6402286,5.5689372,OK,
