Page ID,Title,URL,Provincie,PLACE_ID,NAME_FOUND,FORMATTED_ADDRESS,TYPES,BUSINESS_STATUS,OPEN_NOW,OPENING_HOURS_TEXT,MON,TUE,WED,THU,FRI,SAT,SUN,CAN_VISIT,API_STATUS,ERROR_MESSAGE,QUERY_USED,SOURCE
203,Kasteel pulhof,https://kastelenbelgie.be/nl/kasteel-pulhof-wijnegem/,Oost-Vlaanderen,ChIJJxrVEeL5w0cR-ysA33GdDS4,Kasteel Pulhof,"s Gravenwezelsteenweg 63, 2110 Schilde","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel pulhof, Oost-Vlaanderen, België",GOOGLE_PLACES
202,Kasteel belvedere,https://kastelenbelgie.be/nl/kasteel-belvedere-te-laken-brussel/,Oost-Vlaanderen,ChIJI1zMhV_4w0cR0M-UWCB0tuc,Kasteel Belvédère,"Broekstraat 13, 2110 Wijnegem","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel belvedere, Oost-Vlaanderen, België",GOOGLE_PLACES
201,Kasteel van tieghem,https://kastelenbelgie.be/nl/kasteel-van-tieghem-de-ten-berghe-mariakerke/,Brussel,ChIJGTLFph_Bw0cRcI7xo47m0v0,Kasteel van Groot-Bijgaarden,"Isidoor van Beverenstraat 5, 1702 Dilbeek","establishment,point_of_interest,tourist_attraction",OPERATIONAL,FALSE,maandag: Gesloten | dinsdag: Gesloten | woensdag: Gesloten | donderdag: Gesloten | vrijdag: 00:00–00:02 | zaterdag: Gesloten | zondag: Gesloten,Gesloten,Gesloten,Gesloten,Gesloten,00:00–00:02,Gesloten,Gesloten,yes,OK,,"Kasteel van tieghem, Brussel, België",GOOGLE_PLACES
200,Kasteel van tillegem,https://kastelenbelgie.be/nl/kasteel-van-tillegem-sint-michiels/,Antwerpen,ChIJAfRREqhRw0cRkb1flpfBiA4,Streekhuis Noord-West-Vlaanderen - Kasteel Tillegem,"Tillegemstraat 81, 8200 Brugge","establishment,point_of_interest,tourist_attraction",OPERATIONAL,FALSE,maandag: 08:30–17:00 | dinsdag: 08:30–17:00 | woensdag: 08:30–17:00 | donderdag: 08:30–17:00 | vrijdag: 08:30–17:00 | zaterdag: Gesloten | zondag: Gesloten,08:30–17:00,08:30–17:00,08:30–17:00,08:30–17:00,08:30–17:00,Gesloten,Gesloten,yes,OK,,"Kasteel van tillegem, Antwerpen, België",GOOGLE_PLACES
199,Kasteel ravenhof,https://kastelenbelgie.be/nl/kasteel-ravenhof-torhout-torhout/,Antwerpen,ChIJ6cFcWawNxEcR95SuyuzmaM8,Kasteel Ravenhof,2940 Stabroek,"establishment,park,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel ravenhof, Antwerpen, België",GOOGLE_PLACES
198,Kasteel van zellaer,https://kastelenbelgie.be/nl/kasteel-van-zellaer-bonheiden/,Vlaams-Brabant,ChIJ3Yy56HXkw0cR6Xv14ugd1_s,Kasteeldomein Zellaer,"Zellaerdreef 1, 2820 Bonheiden","establishment,point_of_interest,tourist_attraction",OPERATIONAL,TRUE,maandag: 10:00–19:00 | dinsdag: 10:00–19:00 | woensdag: 10:00–19:00 | donderdag: 10:00–19:00 | vrijdag: 10:00–23:00 | zaterdag: 10:00–23:00 | zondag: 10:00–23:00,10:00–19:00,10:00–19:00,10:00–19:00,10:00–19:00,10:00–23:00,10:00–23:00,10:00–23:00,yes,OK,,"Kasteel van zellaer, Vlaams-Brabant, België",GOOGLE_PLACES
197,Kasteel de blankaart,https://kastelenbelgie.be/nl/kasteel-de-blankaart-diksmuide/,Brussel,ChIJ5cACt9233EcR9VLYlxabiCA,Kasteel De Blankaart,"Iepersteenweg 56, 8650 Diksmuide","establishment,point_of_interest",OPERATIONAL,FALSE,maandag: 13:30–16:30 | dinsdag: 13:30–16:30 | woensdag: 13:30–16:30 | donderdag: 13:30–16:30 | vrijdag: 13:30–16:30 | zaterdag: 13:30–16:30 | zondag: 13:30–16:30,13:30–16:30,13:30–16:30,13:30–16:30,13:30–16:30,13:30–16:30,13:30–16:30,13:30–16:30,yes,OK,,"Kasteel de blankaart, Brussel, België",GOOGLE_PLACES
196,Kasteel van berlare,https://kastelenbelgie.be/nl/kasteel-van-berlare-berlare/,Oost-Vlaanderen,ChIJBycQb4mZw0cRTmjuHeudwIw,Kasteel van Berlare,"Frankrijkstraat 1, 9290 Berlare","establishment,point_of_interest",CLOSED_PERMANENTLY,,,,,,,,,,yes,OK,,"Kasteel van berlare, Oost-Vlaanderen, België",GOOGLE_PLACES
195,Paleis op de koudenberg,https://kastelenbelgie.be/nl/paleis-op-de-koudenberg-te-brussel/,Oost-Vlaanderen,ChIJFQNS1IDEw0cRXtQ_V9tou7I,Palais du Coudenberg,"Paleizenplein 7, 1000 Brussel","establishment,museum,point_of_interest,tourist_attraction",OPERATIONAL,FALSE,maandag: Gesloten | dinsdag: 09:30–17:00 | woensdag: 09:30–17:00 | donderdag: 09:30–17:00 | vrijdag: 09:30–17:00 | zaterdag: 10:00–18:00 | zondag: 10:00–18:00,Gesloten,09:30–17:00,09:30–17:00,09:30–17:00,09:30–17:00,10:00–18:00,10:00–18:00,yes,OK,,"Paleis op de koudenberg, Oost-Vlaanderen, België",GOOGLE_PLACES
194,Kasteel selsaete,https://kastelenbelgie.be/nl/kasteel-selsaete-wommelgem/,Oost-Vlaanderen,ChIJbR-dtBP5w0cRsb1f2RU1QyQ,Kasteel Selsaete,"2160, Selsaetenstraat 50, 2520 Ranst","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel selsaete, Oost-Vlaanderen, België",GOOGLE_PLACES
193,Kasteel mariahove,https://kastelenbelgie.be/nl/kasteel-mariahove-bellem/,Oost-Vlaanderen,ChIJkSyw_lRow0cRt8LiLnDOeKs,Mariahove,"Mariahovelaan 2, 9881 Aalter","establishment,health,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel mariahove, Oost-Vlaanderen, België",GOOGLE_PLACES
192,Kasteel de bist,https://kastelenbelgie.be/nl/kasteel-de-bist-ekeren/,Oost-Vlaanderen,ChIJk3jIfkv8w0cRzcbp2B96TNM,Kasteel De Bist,"Beukenlaan 16, 2560 Nijlen","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel de bist, Oost-Vlaanderen, België",GOOGLE_PLACES
191,Kasteel mussenborg,https://kastelenbelgie.be/nl/kasteel-mussenborg-edegem/,West-Vlaanderen,ChIJo-EEAKHww0cRlOG6zmQEAXQ,Kasteel Mussenborg,"Mechelsesteenweg 396, 2650 Edegem","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel mussenborg, West-Vlaanderen, België",GOOGLE_PLACES
190,Kasteel arendsnest,https://kastelenbelgie.be/nl/kasteel-arendsnest-edegem/,West-Vlaanderen,ChIJvQac75Hww0cRLBhgce1R7TQ,Kasteel Arendsnest,"Boerenlegerstraat 181, 2650 Edegem","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel arendsnest, West-Vlaanderen, België",GOOGLE_PLACES
189,Kasteel van s gravenwezel,https://kastelenbelgie.be/nl/kasteel-van-s-gravenwezel-s-gravenwezel/,Luxemburg,ChIJwVRNEn8HxEcRBsHqUO9OR4w,Kasteel van 's Gravenwezel,"Sint Jobsteenweg 64, 2970 Schilde","establishment,point_of_interest",CLOSED_PERMANENTLY,,,,,,,,,,yes,OK,,"Kasteel van s gravenwezel, Luxemburg, België",GOOGLE_PLACES
188,Kasteel van gravenhof,https://kastelenbelgie.be/nl/kasteel-van-gravenhof-te-dworp/,Luxemburg,ChIJ5cV9QizPw0cRQ84nVcGNl4I,Kasteel Gravenhof,"Alsembergsesteenweg 676, 1653 Beersel","establishment,lodging,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel van gravenhof, Luxemburg, België",GOOGLE_PLACES
187,Kasteel tudor,https://kastelenbelgie.be/nl/kasteel-tudor-sint-andries/,Henegouwen,ChIJqX16S4RRw0cRrW-ZtdoTkuA,Kasteel Tudor,"Zeeweg 147, 8200 Brugge","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel tudor, Henegouwen, België",GOOGLE_PLACES
186,Kasteel ter beken,https://kastelenbelgie.be/nl/kasteel-ter-beken-mariakerke-gent/,Vlaams-Brabant,ChIJL-a48clxw0cR_g01swSSLMM,Kasteel Ter Beken,"Beekstraat 1-3, 9030 Gent","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel ter beken, Vlaams-Brabant, België",GOOGLE_PLACES
